id,possession,shots_on_target
1,35.9,4
2,47.7,6
3,36.9,2
4,53.1,6
5,50.8,7
6,45.4,6
7,72.3,10
8,31.3,5
9,70.3,11
10,66.8,9
11,70.3,12
12,77.8,12
13,52.5,1
14,48.3,5
15,35.8,5
16,53.3,9
17,22.2,5
18,36.6,3
19,65.4,11
20,62.6,12
21,52.4,6
22,34.7,1
23,68.2,13
24,53.5,7
25,28.9,3
26,59.8,12
27,52.5,5
28,47.8,4
29,59.9,10
30,47.0,2
31,69.7,11
32,52.3,4
33,28.8,5
34,67.5,10
35,27.9,5
36,57.2,9
37,38.8,4
38,52.0,4
39,54.3,8
40,67.2,11
41,48.2,5
42,47.7,5
43,63.1,12
44,30.6,2
45,67.2,8
46,64.7,8
47,34.2,3
48,62.9,9
49,42.8,5
50,71.8,13
51,62.4,14
52,70.6,11
53,59.2,12
54,44.3,5
55,64.9,12
56,30.1,3
57,65.8,12
58,45.0,5
59,49.0,5
60,45.6,5
61,52.2,6
62,29.6,3
63,50.1,4
64,47.9,3
65,48.1,6
66,33.7,4
67,48.5,5
68,26.2,3
69,41.6,4
70,30.1,2
71,32.5,3
72,50.7,5
73,49.5,7
74,46.7,6
75,40.0,3
76,53.3,8
77,29.1,3
78,61.9,13
79,29.2,2
80,47.9,7
81,43.4,5
82,34.0,4
83,43.6,7
84,67.6,11
85,58.8,12
86,52.4,8
87,60.9,10
88,69.5,13
89,64.1,10
90,32.1,1
91,40.9,3
92,37.5,1
93,25.0,3
94,41.4,2
95,63.9,10
96,49.6,8
97,40.0,4
98,67.8,11
99,32.0,3
100,44.0,6
