possession_pct,shots_on_target,avg_goals_scored,home_advantage,result
66.1,1,1.3,0,0
37.8,3,2.5,0,0
52.5,4,2.1,0,0
68.2,4,1.2,1,1
33.5,5,1.9,1,0
37.2,4,2.8,0,0
45.8,7,2.8,0,1
44.8,4,0.5,1,0
58.1,3,0.8,1,1
52.4,6,2.4,1,1
32.3,2,0.7,0,0
55.2,6,0.5,1,1
44.2,5,1.1,0,0
62.7,5,1.7,0,1
43.7,8,1.3,0,0
43.6,4,0.9,0,0
55.4,10,0.9,0,1
57.6,5,0.9,0,1
54.5,2,0.8,1,0
33.1,5,3.0,0,0
55.4,3,1.6,0,1
39.7,3,2.0,0,0
52.4,6,1.1,0,0
35.8,6,1.3,0,0
54.5,4,0.9,0,1
41.9,7,0.0,0,1
37.2,8,0.4,1,1
57.1,8,0.1,1,1
52.4,6,0.0,0,0
43.9,8,0.6,1,1
64.5,1,2.3,1,1
45.6,4,1.4,1,1
50.3,3,2.3,1,0
52.7,5,1.7,1,0
43.8,4,1.9,1,1
54.7,5,0.8,1,0
44.7,9,1.8,0,0
45.9,5,1.9,0,0
63.6,6,1.0,0,1
39.6,4,1.8,0,0
25.9,5,1.8,0,0
66.1,5,1.0,0,1
75.5,6,0.6,1,1
45.9,8,0.6,1,0
30.6,9,1.5,1,0
46.9,6,1.6,0,0
47.1,6,0.8,0,1
48.1,2,1.4,1,0
38.9,5,1.8,1,0
55.8,7,1.8,1,1
55.2,7,2.5,1,1
35.1,5,2.3,1,1
57.0,7,0.7,0,1
70.5,6,2.6,0,1
51.7,8,1.0,0,0
46.6,6,2.1,1,1
48.6,4,1.4,1,1
56.2,6,1.1,0,1
32.7,0,0.1,1,0
51.6,6,1.3,0,0
46.1,0,0.3,0,0
68.5,1,2.1,0,1
48.3,6,2.5,0,1
66.7,6,0.8,1,1
39.0,2,1.6,0,0
55.9,3,0.9,1,0
53.2,8,1.0,1,1
41.3,4,1.9,0,0
51.8,10,1.4,0,1
62.1,5,2.6,1,1
46.8,6,1.1,0,0
33.1,9,2.1,1,1
49.8,5,1.5,0,1
41.0,3,2.0,1,1
46.6,5,1.1,1,1
49.2,5,1.4,0,1
32.9,2,1.3,0,0
33.8,4,0.8,1,0
54.8,3,1.9,0,1
44.8,7,1.9,0,0
25.0,5,1.8,0,1
57.8,4,2.5,0,1
52.7,5,2.4,1,1
42.9,5,1.1,1,1
36.8,6,1.7,0,0
58.4,3,1.0,1,1
53.5,3,1.4,0,0
73.8,7,1.0,0,1
54.2,4,2.5,1,1
53.9,2,1.7,1,0
48.3,6,1.2,0,0
58.2,6,2.2,0,1
56.3,2,0.0,1,0
62.5,6,0.0,1,1
44.8,7,2.0,0,1
45.6,6,1.4,0,0
45.2,6,1.6,1,1
57.9,2,0.5,0,0
65.0,6,1.4,0,1
45.4,4,2.8,0,1
45.8,4,2.0,0,0
53.1,7,1.5,0,1
47.5,8,1.1,1,1
59.5,9,1.1,1,1
27.5,8,0.0,1,0
41.7,5,1.6,1,0
42.2,6,2.0,0,1
26.8,7,0.3,0,0
40.4,5,0.9,1,0
40.8,5,0.6,0,0
48.0,7,0.7,1,1
61.1,5,1.4,1,1
47.5,3,0.0,0,0
39.7,4,1.8,0,0
49.4,6,1.9,0,1
60.5,5,1.2,0,0
40.2,6,0.0,0,1
40.9,6,0.7,0,0
55.6,4,2.3,1,0
47.8,7,0.0,1,0
56.5,6,1.2,1,0
49.9,2,0.6,0,1
57.0,8,2.0,0,1
39.6,4,0.9,0,0
49.9,1,1.7,0,1
47.9,3,1.8,1,0
37.8,3,2.7,0,1
34.4,5,1.3,0,0
56.9,4,1.7,1,1
46.5,4,0.4,0,1
39.8,6,2.2,0,0
49.0,6,0.9,0,1
61.3,6,1.0,1,1
27.2,6,1.4,1,0
35.0,6,0.3,0,0
40.8,0,1.6,1,0
64.6,4,2.1,1,1
52.8,0,1.6,1,1
57.7,5,0.3,0,1
38.6,5,1.3,0,0
38.8,7,1.9,1,1
54.5,8,0.1,0,1
50.6,5,0.6,1,1
55.5,4,2.0,1,1
48.1,6,1.6,0,1
52.8,4,1.7,1,1
51.6,5,2.7,1,1
57.8,7,1.7,1,1
58.1,4,1.9,0,0
33.8,7,3.3,1,1
27.5,6,1.3,1,0
60.0,3,0.8,1,0
61.9,7,1.7,1,1
39.8,7,1.7,1,0
31.4,5,1.0,0,0
51.0,3,0.7,0,0
59.3,3,3.0,0,0
68.0,4,1.6,1,1
55.2,6,0.9,1,1
46.3,3,2.0,1,0
41.1,6,1.3,0,0
50.1,2,1.2,1,0
47.0,5,1.8,1,0
39.8,5,0.5,0,0
70.5,10,1.6,1,1
67.9,2,2.7,1,1
61.4,8,1.7,1,1
40.8,5,1.1,0,0
58.6,6,1.0,1,1
56.4,5,1.1,1,0
54.4,6,1.2,1,1
62.5,5,1.1,1,0
56.4,8,2.0,1,1
57.4,4,0.2,0,1
56.4,7,2.0,1,1
53.4,4,1.1,0,0
32.2,5,1.7,1,1
50.8,3,0.6,0,0
44.4,6,2.3,0,1
37.2,8,2.3,1,1
66.8,5,2.1,0,1
67.3,5,0.3,1,1
63.6,3,2.0,0,1
52.6,4,1.7,1,1
63.5,1,0.3,1,0
50.1,3,1.4,0,0
52.0,5,1.7,1,1
39.1,8,1.8,0,1
54.0,11,1.5,1,1
50.6,4,1.6,1,1
37.0,8,2.4,1,1
49.5,6,2.3,0,1
49.2,5,0.0,0,0
68.0,6,1.2,1,1
58.9,5,1.3,1,1
50.1,5,0.2,0,0
52.5,4,1.5,0,0
50.4,2,2.3,0,1
48.0,2,0.6,1,0
39.2,6,1.6,0,0
48.5,4,0.8,0,0
42.5,4,0.9,1,0
37.5,5,2.4,0,0
55.1,7,1.0,1,1
53.9,5,1.7,0,1
32.1,4,0.1,1,0
48.8,8,2.7,1,1
60.0,8,1.8,1,1
60.6,6,1.3,0,1
60.3,7,1.8,1,1
50.4,8,0.4,1,0
41.5,7,2.2,0,1
39.2,6,1.2,0,1
53.4,6,1.3,0,1
53.8,6,1.1,1,0
62.9,3,1.0,1,0
61.0,7,1.9,1,1
48.7,2,1.6,1,0
37.6,3,1.9,1,0
46.8,8,1.4,0,1
52.2,7,1.8,0,1
48.0,8,1.1,1,0
44.2,4,3.0,0,1
52.5,2,0.3,1,0
45.0,4,2.3,1,0
43.7,5,2.4,0,1
53.1,5,0.8,1,1
46.0,7,3.0,0,0
52.4,4,2.1,1,1
52.7,6,2.1,1,1
38.6,3,1.4,1,0
45.2,6,1.2,0,1
64.4,5,1.3,0,1
38.4,3,1.7,0,0
28.8,4,2.4,0,0
31.4,5,1.5,0,0
50.3,4,0.8,0,1
50.3,9,2.0,1,1
48.8,5,2.0,0,0
62.1,4,1.9,0,1
25.0,0,1.9,1,0
54.0,3,1.2,1,0
65.6,4,0.7,1,1
38.7,3,0.8,1,0
46.2,8,0.3,1,0
42.5,5,1.6,1,1
41.1,8,1.3,1,1
46.7,5,1.1,1,0
64.3,5,0.0,0,1
68.4,5,0.5,0,1
46.6,5,2.2,0,1
69.1,9,0.9,0,1
50.4,0,1.7,1,0
67.5,1,0.4,0,1
49.1,4,2.4,0,1
51.3,5,1.3,0,0
53.7,7,1.6,1,1
80.0,6,3.0,0,1
58.5,4,2.5,1,1
42.9,7,1.2,1,0
59.7,7,1.0,0,1
46.4,5,1.2,1,1
