possession_pct,result
53.0,1
39.6,0
57.5,1
59.4,1
30.5,0
37.0,0
51.3,1
46.8,1
49.8,1
41.5,0
58.8,1
57.8,1
50.7,0
61.3,1
54.7,0
41.4,0
53.7,1
40.4,0
58.8,1
49.5,0
48.2,1
43.2,1
62.2,1
48.5,1
45.7,0
46.5,1
55.3,1
53.7,0
54.1,1
54.3,0
71.4,1
45.9,0
44.9,1
41.9,0
56.2,0
61.3,1
48.9,1
41.6,0
41.8,0
56.5,1
57.4,1
55.4,1
43.3,0
52.3,1
51.2,0
52.2,0
58.7,1
52.2,0
56.8,0
50.7,1
52.9,1
56.3,1
35.4,0
46.8,0
45.3,1
43.6,0
47.2,0
64.9,1
41.3,0
59.7,1
33.2,0
46.7,0
51.6,1
55.9,1
57.1,0
57.9,1
46.5,0
45.4,1
58.6,1
48.1,1
37.2,0
38.7,0
40.8,0
55.0,0
51.4,0
56.9,0
45.7,0
51.6,0
56.3,1
46.9,0
54.6,1
43.4,0
46.4,0
46.2,0
38.0,0
54.9,1
45.3,0
50.1,1
54.8,1
54.5,0
56.7,0
49.0,0
45.8,1
49.2,1
33.1,0
35.5,0
36.8,0
40.0,1
54.0,1
40.9,0
46.2,0
63.0,1
46.4,0
57.4,1
40.7,0
47.9,1
40.5,0
46.6,1
58.4,1
32.7,0
54.3,1
52.4,1
44.1,0
35.5,0
50.7,1
44.7,1
52.3,1
50.2,0
66.0,1
47.6,1
39.8,0
51.8,0
52.2,1
63.6,1
58.4,1
53.6,1
64.6,1
38.1,0
43.6,1
40.7,0
46.1,1
36.2,0
56.4,1
47.8,1
35.3,1
39.8,0
53.1,1
58.4,1
70.0,1
79.1,1
54.1,0
40.1,0
28.7,0
52.7,1
41.9,1
45.8,0
43.9,1
48.6,1
60.7,1
51.6,1
48.4,1
39.6,0
33.3,0
45.1,0
49.5,1
67.7,1
51.3,1
59.8,1
45.0,0
38.2,0
40.3,0
42.7,0
71.3,1
41.8,0
58.4,1
41.0,0
59.3,1
53.8,1
48.4,0
49.6,0
43.5,0
54.5,1
45.5,0
37.7,0
37.2,0
51.7,1
65.8,1
51.6,1
48.8,1
52.9,0
63.1,1
52.2,1
45.9,1
61.1,1
54.3,1
65.4,1
51.8,1
37.8,0
36.3,0
66.5,1
67.2,1
48.2,0
46.2,0
64.6,1
38.9,0
41.1,1
56.4,1
46.1,0
49.9,0
48.4,1
53.4,1
64.1,1
50.9,1
56.4,1
29.5,0
49.5,1
41.6,0
37.8,0
41.2,1
46.7,0
59.2,1
36.7,0
50.3,1
45.2,0
46.7,1
60.0,0
55.4,0
63.4,1
48.5,1
43.0,0
47.8,0
52.4,0
51.8,1
39.2,0
50.9,1
52.3,1
75.2,1
68.8,1
41.5,1
47.1,0
35.4,0
44.1,1
53.2,1
62.1,1
42.7,0
43.5,0
28.5,0
48.4,0
39.4,0
44.7,0
41.2,0
49.1,1
32.4,0
35.3,0
71.3,1
37.1,0
39.0,0
68.4,1
79.1,1
38.3,0
46.3,1
53.4,1
67.3,1
40.1,0
47.5,1
57.8,1
54.3,1
46.2,0
48.7,0
36.3,0
47.6,0
47.3,1
52.3,0
44.4,0
54.7,0
60.1,1
51.6,0
53.5,1
50.5,1
50.0,0
42.8,0
53.2,1
49.0,1
70.9,1
65.7,1
53.9,1
42.4,0
38.9,0
61.9,0
52.6,1
54.8,1
32.6,0
59.3,1
54.5,1
38.9,0
45.3,0
52.6,0
50.5,0
47.1,0
49.0,1
47.5,1
51.5,0
64.7,0
25.0,0
47.6,1
51.8,1
53.0,0
46.3,0
32.4,0
53.3,0
